User_Type,Dataset_Source,Age,Age_Group,Age_Numeric,Gender,Gender_Standardized
Student,Global_Student_Survey_COVID19,62.0,55+,62.0,Gender diverse,Gender Diverse
Student,Global_Student_Survey_COVID19,,Unknown,,Gender diverse,Gender Diverse
Student,Global_Student_Survey_COVID19,28.0,25-34,28.0,Male,Male
Student,Global_Student_Survey_COVID19,26.0,25-34,26.0,Male,Male
Student,Global_Student_Survey_COVID19,30.0,25-34,30.0,Male,Male
Student,Global_Student_Survey_COVID19,,Unknown,,,Unknown
Student,Global_Student_Survey_COVID19,33.0,25-34,33.0,Male,Male
Student,Global_Student_Survey_COVID19,26.0,25-34,26.0,Female,Female
Student,Global_Student_Survey_COVID19,25.0,25-34,25.0,Female,Female
Student,Global_Student_Survey_COVID19,26.0,25-34,26.0,Male,Male
Student,Global_Student_Survey_COVID19,21.0,18-24,21.0,Male,Male
Student,Global_Student_Survey_COVID19,45.0,45-54,45.0,Male,Male
Student,Global_Student_Survey_COVID19,22.0,18-24,22.0,Female,Female
Student,Global_Student_Survey_COVID19,31.0,25-34,31.0,Male,Male
Student,Global_Student_Survey_COVID19,21.0,18-24,21.0,Prefer not to say,Prefer Not to Say
Student,Global_Student_Survey_COVID19,33.0,25-34,33.0,Male,Male
Student,Global_Student_Survey_COVID19,,Unknown,,,Unknown
Student,Global_Student_Survey_COVID19,25.0,25-34,25.0,Male,Male
Student,Global_Student_Survey_COVID19,19.0,18-24,19.0,Female,Female
Student,Global_Student_Survey_COVID19,25.0,25-34,25.0,Male,Male
Student,Global_Student_Survey_COVID19,35.0,35-44,35.0,Male,Male
Student,Global_Student_Survey_COVID19,21.0,18-24,21.0,Male,Male
Student,Global_Student_Survey_COVID19,23.0,18-24,23.0,Male,Male
Student,Global_Student_Survey_COVID19,24.0,18-24,24.0,Female,Female
Student,Global_Student_Survey_COVID19,35.0,35-44,35.0,Male,Male
Student,Global_Student_Survey_COVID19,23.0,18-24,23.0,Male,Male
Student,Global_Student_Survey_COVID19,,Unknown,,,Unknown
Student,Global_Student_Survey_COVID19,22.0,18-24,22.0,Male,Male
Student,Global_Student_Survey_COVID19,29.0,25-34,29.0,Male,Male
Student,Global_Student_Survey_COVID19,26.0,25-34,26.0,Male,Male
Student,Global_Student_Survey_COVID19,44.0,35-44,44.0,Male,Male
Student,Global_Student_Survey_COVID19,23.0,18-24,23.0,Male,Male
Student,Global_Student_Survey_COVID19,22.0,18-24,22.0,Male,Male
Student,Global_Student_Survey_COVID19,27.0,25-34,27.0,Female,Female
Student,Global_Student_Survey_COVID19,28.0,25-34,28.0,Male,Male
Student,Global_Student_Survey_COVID19,22.0,18-24,22.0,Female,Female
Student,Global_Student_Survey_COVID19,23.0,18-24,23.0,Male,Male
Student,Global_Student_Survey_COVID19,20.0,18-24,20.0,Male,Male
Student,Global_Student_Survey_COVID19,25.0,25-34,25.0,Male,Male
Student,Global_Student_Survey_COVID19,24.0,18-24,24.0,Male,Male
Student,Global_Student_Survey_COVID19,20.0,18-24,20.0,Male,Male
Student,Global_Student_Survey_COVID19,22.0,18-24,22.0,Male,Male
Student,Global_Student_Survey_COVID19,30.0,25-34,30.0,Male,Male
Student,Global_Student_Survey_COVID19,19.0,18-24,19.0,Prefer not to say,Prefer Not to Say
Student,Global_Student_Survey_COVID19,20.0,18-24,20.0,Male,Male
Student,Global_Student_Survey_COVID19,19.0,18-24,19.0,Female,Female
Student,Global_Student_Survey_COVID19,23.0,18-24,23.0,Male,Male
Student,Global_Student_Survey_COVID19,24.0,18-24,24.0,Male,Male
Student,Global_Student_Survey_COVID19,23.0,18-24,23.0,Male,Male
Student,Global_Student_Survey_COVID19,26.0,25-34,26.0,Male,Male
Student,Global_Student_Survey_COVID19,20.0,18-24,20.0,Male,Male
Student,Global_Student_Survey_COVID19,22.0,18-24,22.0,Male,Male
Student,Global_Student_Survey_COVID19,31.0,25-34,31.0,Male,Male
Student,Global_Student_Survey_COVID19,26.0,25-34,26.0,Male,Male
Student,Global_Student_Survey_COVID19,23.0,18-24,23.0,Male,Male
Student,Global_Student_Survey_COVID19,22.0,18-24,22.0,Male,Male
Student,Global_Student_Survey_COVID19,19.0,18-24,19.0,Male,Male
Student,Global_Student_Survey_COVID19,20.0,18-24,20.0,Male,Male
Student,Global_Student_Survey_COVID19,22.0,18-24,22.0,Male,Male
Student,Global_Student_Survey_COVID19,29.0,25-34,29.0,Female,Female
